timestamp,open,high,low,close,volume
1777907172206,99.9,100.2,99.8,100.0,50.0
1777907472206,100.0,100.3,99.9,100.1,51.5
1777907772206,100.1,100.4,100.0,100.2,53.0
1777908072206,100.2,100.5,100.1,100.3,54.5
1777908372206,100.3,100.6,100.2,100.4,56.0
1777908672206,100.4,100.7,100.3,100.5,50.0
1777908972206,100.5,100.8,100.4,100.6,51.5
1777909272206,100.6,100.9,100.5,100.7,53.0
1777909572206,100.7,101.0,100.6,100.8,54.5
1777909872206,100.8,101.1,100.7,100.9,56.0
1777910172206,99.9,100.2,99.8,100.0,50.0
1777910472206,100.0,100.3,99.9,100.1,51.5
1777910772206,100.1,100.4,100.0,100.2,53.0
1777911072206,100.2,100.5,100.1,100.3,54.5
1777911372206,100.3,100.6,100.2,100.4,56.0
1777911672206,100.4,100.7,100.3,100.5,50.0
1777911972206,100.5,100.8,100.4,100.6,51.5
1777912272206,100.6,100.9,100.5,100.7,53.0
1777912572206,100.7,101.0,100.6,100.8,54.5
1777912872206,100.8,101.1,100.7,100.9,56.0
1777913172206,99.9,100.2,99.8,100.0,50.0
1777913472206,100.0,100.3,99.9,100.1,51.5
1777913772206,100.1,100.4,100.0,100.2,53.0
1777914072206,100.2,100.5,100.1,100.3,54.5
1777914372206,100.3,100.6,100.2,100.4,56.0
1777914672206,100.4,100.7,100.3,100.5,50.0
1777914972206,100.5,100.8,100.4,100.6,51.5
1777915272206,100.6,100.9,100.5,100.7,53.0
1777915572206,100.7,101.0,100.6,100.8,54.5
1777915872206,100.8,101.1,100.7,100.9,56.0
1777916172206,99.9,100.2,99.8,100.0,50.0
1777916472206,100.0,100.3,99.9,100.1,51.5
1777916772206,100.1,100.4,100.0,100.2,53.0
1777917072206,100.2,100.5,100.1,100.3,54.5
1777917372206,100.3,100.6,100.2,100.4,56.0
1777917672206,100.4,100.7,100.3,100.5,50.0
1777917972206,100.5,100.8,100.4,100.6,51.5
1777918272206,100.6,100.9,100.5,100.7,53.0
1777918572206,100.7,101.0,100.6,100.8,54.5
1777918872206,100.8,101.1,100.7,100.9,56.0
1777919172206,99.9,100.2,99.8,100.0,50.0
1777919472206,100.0,100.3,99.9,100.1,51.5
1777919772206,100.1,100.4,100.0,100.2,53.0
1777920072206,100.2,100.5,100.1,100.3,54.5
1777920372206,100.3,100.6,100.2,100.4,56.0
1777920672206,100.4,100.7,100.3,100.5,50.0
1777920972206,100.5,100.8,100.4,100.6,51.5
1777921272206,100.6,100.9,100.5,100.7,53.0
